configuration,description,seed,feasible_found,selection,tournament_k,crossover,pc,pm,population,generations,elitism,final_best_fitness,final_avg_fitness,best_feasible_value,best_feasible_weight,capacity,known_optimum,optimality_gap_percent,generation_to_baseline_median
baseline,"Baseline (Tournament k=3, 2-point, pm=0.02)",42,True,tournament,3,two-point,0.9,0.02,150,200,2,7896.0,-17998188.386666667,7896,994,995,9147,13.6766,>200
baseline,"Baseline (Tournament k=3, 2-point, pm=0.02)",43,True,tournament,3,two-point,0.9,0.02,150,200,2,8628.0,-18622881.706666667,8628,932,995,9147,5.674,>200
baseline,"Baseline (Tournament k=3, 2-point, pm=0.02)",44,True,tournament,3,two-point,0.9,0.02,150,200,2,8842.0,-17339449.506666668,8842,954,995,9147,3.3344,199
baseline,"Baseline (Tournament k=3, 2-point, pm=0.02)",45,True,tournament,3,two-point,0.9,0.02,150,200,2,8817.0,-17810532.086666666,8817,908,995,9147,3.6077,160
baseline,"Baseline (Tournament k=3, 2-point, pm=0.02)",46,True,tournament,3,two-point,0.9,0.02,150,200,2,9147.0,-19983545.366666667,9147,985,995,9147,0.0,186
tournament_k2,"Tournament k=2, 2-point, pm=0.02",42,True,tournament,2,two-point,0.9,0.02,150,200,2,7328.0,-32086211.426666666,7328,965,995,9147,19.8863,>200
tournament_k2,"Tournament k=2, 2-point, pm=0.02",43,True,tournament,2,two-point,0.9,0.02,150,200,2,7171.0,-31447147.92,7171,974,995,9147,21.6027,>200
tournament_k2,"Tournament k=2, 2-point, pm=0.02",44,True,tournament,2,two-point,0.9,0.02,150,200,2,8145.0,-34969303.12,8145,966,995,9147,10.9544,>200
tournament_k2,"Tournament k=2, 2-point, pm=0.02",45,True,tournament,2,two-point,0.9,0.02,150,200,2,8810.0,-33567758.406666666,8810,969,995,9147,3.6843,>200
tournament_k2,"Tournament k=2, 2-point, pm=0.02",46,True,tournament,2,two-point,0.9,0.02,150,200,2,5879.0,-35503032.68666667,5879,995,995,9147,35.7276,>200
tournament_k4,"Tournament k=4, 2-point, pm=0.02",42,True,tournament,4,two-point,0.9,0.02,150,200,2,8897.0,-15348654.633333333,8897,987,995,9147,2.7331,84
